date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:07	20937/20937	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:06%20GMT	http://www.w3schools.com/browsers/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/browsers/default.html	(from )
09:56:08	24689/24689	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:07%20GMT	http://www.w3schools.com/cert/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/cert/default.html	(from )
09:56:09	20625/20625	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:08%20GMT	http://www.w3schools.com/hosting/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/hosting/default.html	(from )
09:56:10	21173/21173	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:09%20GMT	http://www.w3schools.com/w3c/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/w3c/default.html	(from )
09:56:15	18651/18651	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:13%20GMT	http://www.w3schools.com/quality/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/quality/default.html	(from )
09:56:16	2093/2093	---M--	200	added ('OK')	image/gif	etag:%2291adba74932ecd1:0%22	http://www.w3schools.com/images/icon_doc.gif	C:/My%20Web%20Sites/Myschool/www.w3schools.com/images/icon_doc.gif	(from )
09:56:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jun%202012%2004:26:16%20GMT	http://www.w3schools.com/sitemap/sitemap_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/sitemap/sitemap_examples.2e.delayed	(from )
09:56:18	2350/2350	---M--	200	added ('OK')	image/gif	etag:%22b9386074932ecd1:0%22	http://www.w3schools.com/images/icon_cut.gif	C:/My%20Web%20Sites/Myschool/www.w3schools.com/images/icon_cut.gif	(from )
09:56:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jun%202012%2004:26:18%20GMT	http://www.w3schools.com/sitemap/sitemap_references.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/sitemap/sitemap_references.30.delayed	(from )
09:56:20	35225/35225	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:18%20GMT	http://www.w3schools.com/tags/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/default.html	(from )
